Group,GrowthRate,GrowthRate_NP,Temp_Treat,Temp_Value,Nutrient,Repl
Bacteria,0.622369495,0.720511427,InSitu,22,Control,1
Bacteria,0.655092997,0.69430454,InSitu,22,Control,2
Bacteria,0.821497412,0.675585646,InSitu,22,In,1
Bacteria,0.83464089,0.70362607,InSitu,22,In,2
Bacteria,0.698852332,0.697222173,InSitu,22,Org,1
Bacteria,0.778170396,0.700115284,InSitu,22,Org,2
Bacteria,0.937479275,0.707705608,InSitu,22,InOrg,1
Bacteria,0.846366359,0.692586799,InSitu,22,InOrg,2
Bacteria,0.746228716,1.07016718,Warm,25,Control,1
Bacteria,0.716952971,0.906373059,Warm,25,Control,2
Bacteria,0.883150863,1.14986527,Warm,25,In,1
Bacteria,0.875693211,1.101822056,Warm,25,In,2
Bacteria,0.785947724,1.034142325,Warm,25,Org,1
Bacteria,0.772734405,0.88611903,Warm,25,Org,2
Bacteria,1.078584241,1.137341171,Warm,25,InOrg,1
Bacteria,1.053534351,1.119883882,Warm,25,InOrg,2
Bacteria,0.349311416,0.554839696,Cold,19,Control,1
Bacteria,0.003194491,0.523873174,Cold,19,Control,2
Bacteria,0.508383484,0.437209392,Cold,19,In,1
Bacteria,0.412063857,0.636065245,Cold,19,In,2
Bacteria,0.413627826,0.439974041,Cold,19,Org,1
Bacteria,0.353859485,0.718733299,Cold,19,Org,2
Bacteria,0.595142921,0.653261063,Cold,19,InOrg,1
Bacteria,0.586519917,0.476429964,Cold,19,InOrg,2