Group;GrowthRate;Day;GrowthRate_NP;Temp_Treat;Temp_Value;Nutrient
Bacteria;0.622369495;1;0.720511427;InSitu;22;Control
Bacteria;0.655092997;1;0.69430454;InSitu;22;Control
Bacteria;0.821497412;1;0.675585646;InSitu;22;In
Bacteria;0.83464089;1;0.70362607;InSitu;22;In
Bacteria;0.698852332;1;0.697222173;InSitu;22;Org
Bacteria;0.778170396;1;0.700115284;InSitu;22;Org
Bacteria;0.937479275;1;0.707705608;InSitu;22;InOrg
Bacteria;0.846366359;1;0.692586799;InSitu;22;InOrg
Bacteria;0.746228716;1;1.07016718;Warm;25;Control
Bacteria;0.716952971;1;0.906373059;Warm;25;Control
Bacteria;0.883150863;1;1.14986527;Warm;25;In
Bacteria;0.875693211;1;1.101822056;Warm;25;In
Bacteria;0.785947724;1;1.034142325;Warm;25;Org
Bacteria;0.772734405;1;0.88611903;Warm;25;Org
Bacteria;1.078584241;1;1.137341171;Warm;25;InOrg
Bacteria;1.053534351;1;1.119883882;Warm;25;InOrg
Bacteria;0.349311416;1;0.554839696;Cold;19;Control
Bacteria;0.03194491;1;0.523873174;Cold;19;Control
Bacteria;0.508383484;1;0.437209392;Cold;19;In
Bacteria;0.412063857;1;0.636065245;Cold;19;In
Bacteria;0.413627826;1;0.439974041;Cold;19;Org
Bacteria;0.353859485;1;0.718733299;Cold;19;Org
Bacteria;0.595142921;1;0.653261063;Cold;19;InOrg
Bacteria;0.586519917;1;0.476429964;Cold;19;InOrg
Bacteria;0.522369495;2;0.720511427;InSitu;22;Control
Bacteria;0.555092997;2;0.69430454;InSitu;22;Control
Bacteria;0.721497412;2;0.675585646;InSitu;22;In
Bacteria;0.73464089;2;0.70362607;InSitu;22;In
Bacteria;0.598852332;2;0.697222173;InSitu;22;Org
Bacteria;0.678170396;2;0.700115284;InSitu;22;Org
Bacteria;0.837479275;2;0.707705608;InSitu;22;InOrg
Bacteria;0.746366359;2;0.692586799;InSitu;22;InOrg
Bacteria;0.646228716;2;1.07016718;Warm;25;Control
Bacteria;0.616952971;2;0.906373059;Warm;25;Control
Bacteria;0.783150863;2;1.14986527;Warm;25;In
Bacteria;0.775693211;2;1.101822056;Warm;25;In
Bacteria;0.685947724;2;1.034142325;Warm;25;Org
Bacteria;0.672734405;2;0.88611903;Warm;25;Org
Bacteria;0.918584241;2;1.137341171;Warm;25;InOrg
Bacteria;0.953534351;2;1.119883882;Warm;25;InOrg
Bacteria;0.449311416;2;0.554839696;Cold;19;Control
Bacteria;0.04194491;2;0.523873174;Cold;19;Control
Bacteria;0.408383484;2;0.437209392;Cold;19;In
Bacteria;0.312063857;2;0.636065245;Cold;19;In
Bacteria;0.313627826;2;0.439974041;Cold;19;Org
Bacteria;0.453859485;2;0.718733299;Cold;19;Org
Bacteria;0.495142921;2;0.653261063;Cold;19;InOrg
Bacteria;0.486519917;2;0.476429964;Cold;19;InOrg